"場所の名前","カテゴリ","区名","所在地","TEL","避難可能時間","災害対策基本法に基づく指定","避難場所の対象とする災害","経度","緯度","分類"
"晴明丘公園","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","阿倍野元町15","－","24時間","指定緊急避難場所","地震、津波","135.50787337893","34.6297068061034","一時避難場所"
"晴明丘相生公園","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","相生通2-7","－","24時間","指定緊急避難場所","地震、津波","135.503353170742","34.6304605883052","一時避難場所"
"晴明丘中央公園","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","北畠1-18","－","24時間","指定緊急避難場所","地震、津波","135.505135278094","34.6259472839438","一時避難場所"
"晴明丘西公園","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","北畠3-3","－","24時間","指定緊急避難場所","地震、津波","135.500199603772","34.6296742328465","一時避難場所"
"播磨大領公園","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","播磨町3-4,　住吉区大領2-2","－","24時間","指定緊急避難場所","地震、津波","135.508358328407","34.6179065892677","一時避難場所"
"まつむし広場","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","松虫通1-2","－","24時間","指定緊急避難場所","地震、津波","135.509304597583","34.6358509157674","一時避難場所"
"安立小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","住之江1-4-29","6672-0551","24時間","指定緊急避難場所・指定避難所","地震","135.487856465982","34.6047221059136","一時避難場所・災害時避難所"
"住之江保健福祉センター分館","防災関連施設 - 一時避難場所・災害時避難所","住之江区","浜口東3-5-16","6682-9882","-","指定避難所","-","135.485762558881","34.6083992224348","災害時避難所"
"敷津浦小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","北島2-9-22","6681-0010","24時間","指定緊急避難場所・指定避難所","地震","135.477523460237","34.6028539911053","一時避難場所・災害時避難所"
"住之江中学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎8-1-6","6683-0001","24時間","指定緊急避難場所・指定避難所","地震","135.478700582299","34.6062130009634","一時避難場所・災害時避難所"
"住吉商業高等学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎7-12-55","6681-0577","24時間","指定緊急避難場所・指定避難所","地震","135.479981892821","34.6042242998986","一時避難場所・災害時避難所"
"市立住之江会館","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南加賀屋3-1-20","6683-2882","-","指定避難所","-","135.475003029114","34.6064158551851","災害時避難所"
"真住中学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎2-2-32","6686-8495","24時間","指定緊急避難場所・指定避難所","地震","135.477721736712","34.6129363850816","一時避難場所・災害時避難所"
"住之江小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎4-6-43","6681-3000","24時間","指定緊急避難場所・指定避難所","地震","135.479273339455","34.6101622043664","一時避難場所・災害時避難所"
"清江小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎5-7-18","6686-3050","24時間","指定緊急避難場所・指定避難所","地震","135.480289990309","34.6078187330397","一時避難場所・災害時避難所"
"住吉川小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","西加賀屋4-1-4","6681-1571","24時間","指定緊急避難場所・指定避難所","地震","135.47872749949","34.6148697809528","一時避難場所・災害時避難所"
"加賀屋小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","北加賀屋2-5-26","6681-0031","24時間","指定緊急避難場所・指定避難所","地震","135.479047394419","34.6223982004596","一時避難場所・災害時避難所"
"加賀屋東小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","東加賀屋1-6-25","6681-5000","24時間","指定緊急避難場所・指定避難所","地震","135.484487433043","34.6201177469834","一時避難場所・災害時避難所"
"加賀屋中学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","西加賀屋2-9-20","6681-0131","24時間","指定緊急避難場所・指定避難所","地震","135.476290540382","34.6189371937587","一時避難場所・災害時避難所"
"粉浜小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","粉浜2-6-6","6672-0001","24時間","指定緊急避難場所・指定避難所","地震","135.490467803393","34.6180726735316","一時避難場所・災害時避難所"
"北粉浜小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","粉浜1-5-48","6678-6851","24時間","指定緊急避難場所・指定避難所","地震","135.490741161635","34.6231166047065","一時避難場所・災害時避難所"
"住吉第一中学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","粉浜西1-5-11","6678-0101","24時間","指定緊急避難場所・指定避難所","地震","135.487807373476","34.6218320017192","一時避難場所・災害時避難所"
"平林小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","平林南2-6-48","6685-8085","24時間","指定緊急避難場所・指定避難所","地震","135.455998548484","34.6090441210959","一時避難場所・災害時避難所"
"新北島小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","新北島6-2-56","6683-3011","24時間","指定緊急避難場所・指定避難所","地震","135.463399154223","34.6057439566228","一時避難場所・災害時避難所"
"新北島中学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","新北島8-2-46","6683-0071","24時間","指定緊急避難場所・指定避難所","地震","135.459014805329","34.6072898555413","一時避難場所・災害時避難所"
"南港光小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中4-4-22","6613-0600","24時間","指定緊急避難場所・指定避難所","地震","135.423738522453","34.6337222809079","一時避難場所・災害時避難所"
"南港桜小学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中5-2-48","6613-0160","24時間","指定緊急避難場所・指定避難所","地震","135.421023925482","34.6355123394381","一時避難場所・災害時避難所"
"南港北中学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中4-3-39","6613-0500","24時間","指定緊急避難場所・指定避難所","地震","135.423304505416","34.6358672062343","一時避難場所・災害時避難所"
"港南造形高等学校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港東2-5-72","6613-1000","24時間","指定緊急避難場所・指定避難所","地震","135.442065191522","34.6133585009875","一時避難場所・災害時避難所"
"安住公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","住之江3-17","－","24時間","指定緊急避難場所","地震","135.484956426145","34.5978775599648","一時避難場所"
"西住之江公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","西住之江1-3","－","24時間","指定緊急避難場所","地震","135.485593966486","34.6053638456656","一時避難場所"
"浜口東公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","西住之江1-3","－","24時間","指定緊急避難場所","地震","135.486356995755","34.6069692399877","一時避難場所"
"浜口西公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","浜口西2-6","－","24時間","指定緊急避難場所","地震","135.483953887904","34.6106580843954","一時避難場所"
"安立北公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","安立1-10","－","24時間","指定緊急避難場所","地震","135.490050174712","34.6075566466413","一時避難場所"
"浜口公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","浜口西3-4","－","24時間","指定緊急避難場所","地震","135.483928301998","34.6083117833164","一時避難場所"
"霞松原公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","安立2-11","－","24時間","指定緊急避難場所","地震","135.488672123371","34.6043525772962","一時避難場所"
"北島公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","北島3-17","－","24時間","指定緊急避難場所","地震","135.479045394417","34.6004364572143","一時避難場所"
"御崎南公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎7-3","－","24時間","指定緊急避難場所","地震","135.481229650152","34.6055804836007","一時避難場所"
"住之江公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南加賀屋1-1","－","24時間","指定緊急避難場所","地震","135.475370684548","34.6115422155736","一時避難場所"
"南加賀屋公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南加賀屋3-1","－","24時間","指定緊急避難場所","地震","135.475421784077","34.6064136896503","一時避難場所"
"西加賀屋公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","西加賀屋3-8","－","24時間","指定緊急避難場所","地震","135.476559669317","34.6162508818279","一時避難場所"
"柴谷公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","柴谷2-7","－","24時間","指定緊急避難場所","地震","135.465981486544","34.6178058851464","一時避難場所"
"緑木公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","緑木2-1","－","24時間","指定緊急避難場所","地震","135.473027968211","34.6154933140307","一時避難場所"
"加賀屋公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","中加賀屋3-17","－","24時間","指定緊急避難場所","地震","135.478478996524","34.6159319323757","一時避難場所"
"北加賀屋公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","北加賀屋5-3","－","24時間","指定緊急避難場所","地震","135.475680707854","34.6230545400928","一時避難場所"
"加賀屋北公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","北加賀屋1-2","－","24時間","指定緊急避難場所","地震","135.4814303241","34.6240719580271","一時避難場所"
"中加賀屋公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","中加賀屋1-5","－","24時間","指定緊急避難場所","地震","135.481602300564","34.6196201618508","一時避難場所"
"住吉公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","浜口東1-1","－","24時間","指定緊急避難場所","地震","135.488549708875","34.6122573301668","一時避難場所"
"粉浜東公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","粉浜1-5","－","24時間","指定緊急避難場所","地震","135.490528614365","34.6221582521445","一時避難場所"
"粉浜北公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","粉浜西1-4","－","24時間","指定緊急避難場所","地震","135.488620237134","34.6222938243881","一時避難場所"
"粉浜公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","粉浜西2-6","－","24時間","指定緊急避難場所","地震","135.488335634789","34.618978996766","一時避難場所"
"平林南公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","平林南2-6","－","24時間","指定緊急避難場所","地震","135.45631100955","34.6093408509085","一時避難場所"
"平林北公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","平林北1-2","－","24時間","指定緊急避難場所","地震","135.46021042629","34.6208927978143","一時避難場所"
"新北島東公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","新北島3-5","－","24時間","指定緊急避難場所","地震","135.469757096144","34.6069159059231","一時避難場所"
"新北島西公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","新北島7-3","－","24時間","指定緊急避難場所","地震","135.460597214582","34.6092493051003","一時避難場所"
"新北島南公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","新北島2-3","－","24時間","指定緊急避難場所","地震","135.471135042738","34.6037102091232","一時避難場所"
"敷津浦東公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎7-15","－","24時間","指定緊急避難場所","地震","135.479686246626","34.6032296555856","一時避難場所"
"南加賀屋西公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南加賀屋4-6","－","24時間","指定緊急避難場所","地震","135.473264043397","34.6031432128568","一時避難場所"
"御崎東公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎3-3","－","24時間","指定緊急避難場所","地震","135.480901884752","34.610463841611","一時避難場所"
"御崎中公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎5-1","－","24時間","指定緊急避難場所","地震","135.48308731726","34.6087505622802","一時避難場所"
"南港公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中3-1","－","24時間","指定緊急避難場所","地震","135.425282551145","34.6305608146971","一時避難場所"
"南港太陽のまち公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中4-5","－","24時間","指定緊急避難場所","地震","135.424814820939","34.6338091195533","一時避難場所"
"南港緑公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中2-6","－","24時間","指定緊急避難場所","地震","135.42811003219","34.6287902909938","一時避難場所"
"南港海のまち公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中3-6","－","24時間","指定緊急避難場所","地震","135.425429095373","34.6277963950909","一時避難場所"
"南港花のまち公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中5-4","－","24時間","指定緊急避難場所","地震","135.420894767435","34.6337981333493","一時避難場所"
"南港中央公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港東8-5","－","24時間","指定緊急避難場所","地震","135.432689094184","34.6318477891494","一時避難場所"
"東加賀屋公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","東加賀屋2-14","－","24時間","指定緊急避難場所","地震","135.48229209363","34.6175433905008","一時避難場所"
"平林西公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","平林南2-12","－","24時間","指定緊急避難場所","地震","135.447241946697","34.6132678078952","一時避難場所"
"西住之江南公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","西住之江3-13","－","24時間","指定緊急避難場所","地震","135.482848987419","34.600153846447","一時避難場所"
"安立南公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","安立3-8","－","24時間","指定緊急避難場所","地震","135.487716694641","34.6015607553263","一時避難場所"
"西住之江中公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","西住之江2-15","－","24時間","指定緊急避難場所","地震","135.485445721419","34.6019886170168","一時避難場所"
"御崎北公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","御崎1-8","－","24時間","指定緊急避難場所","地震","135.48218270993","34.6113901042187","一時避難場所"
"北加賀屋東公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","北加賀屋1-5","－","24時間","指定緊急避難場所","地震","135.480397166588","34.6219537310775","一時避難場所"
"粉浜中公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","粉浜1-27","－","24時間","指定緊急避難場所","地震","135.490912608725","34.6187839527532","一時避難場所"
"粉浜南公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","粉浜3-2","－","24時間","指定緊急避難場所","地震","135.489371707269","34.6160992119582","一時避難場所"
"新北島中公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","新北島3-7","－","24時間","指定緊急避難場所","地震","135.466458250815","34.6073454411951","一時避難場所"
"新北島会館南公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","新北島5-3","－","24時間","指定緊急避難場所","地震","135.462839505723","34.6075010314161","一時避難場所"
"大和川北公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","新北島8-1","－","24時間","指定緊急避難場所","地震","135.460990908518","34.6070026604025","一時避難場所"
"東加賀屋１公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","東加賀屋1-3","－","24時間","指定緊急避難場所","地震","135.484915110818","34.6186718974374","一時避難場所"
"墨江小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","墨江2-3-46","6678-7601","24時間","指定緊急避難場所・指定避難所","地震、津波","135.495316733466","34.6079403159725","一時避難場所・災害時避難所"
"三稜中学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","千躰1-5-22","6691-2131","24時間","指定緊急避難場所・指定避難所","地震、津波","135.499556831865","34.6070745176389","一時避難場所・災害時避難所"
"墨江丘中学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","墨江4-15-34","6674-3612","24時間","指定緊急避難場所・指定避難所","地震、津波","135.494340362064","34.6060958846157","一時避難場所・災害時避難所"
"清明学院高等学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","墨江2-4-4","6673-8181","24時間","指定緊急避難場所・指定避難所","地震、津波","135.494869777538","34.6077385183629","一時避難場所・災害時避難所"
"清水丘小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","清水丘2-9-41","6673-1101","24時間","指定緊急避難場所・指定避難所","地震、津波","135.492491625553","34.6019470147606","一時避難場所・災害時避難所"
"南住吉小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","南住吉3-5-1","6693-3941","24時間","指定緊急避難場所・指定避難所","地震、津波","135.503719871671","34.6046756738887","一時避難場所・災害時避難所"
"山之内小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","山之内2-17-39","6693-0001","24時間","指定緊急避難場所・指定避難所","地震、津波","135.500135291882","34.5965385028018","一時避難場所・災害時避難所"
"遠里小野小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","遠里小野6-6-27","6692-5671","24時間","指定緊急避難場所・指定避難所","地震、津波","135.495033761135","34.5975876577072","一時避難場所・災害時避難所"
"大和川中学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","遠里小野2-11-4","6694-0005","24時間","指定緊急避難場所・指定避難所","地震、津波","135.496915083951","34.5974932682375","一時避難場所・災害時避難所"
"浪速中学校・高等学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","山之内2-13-57","6693-4031","24時間","指定緊急避難場所・指定避難所","地震、津波","135.500584409608","34.598282026396","一時避難場所・災害時避難所"
"東粉浜小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","東粉浜2-3-26","6672-0313","24時間","指定緊急避難場所・指定避難所","地震、津波","135.494089419237","34.6196003308126","一時避難場所・災害時避難所"
"住吉小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","帝塚山西4-1-35","6672-6001","24時間","指定緊急避難場所・指定避難所","地震、津波","135.496612003938","34.6182875637057","一時避難場所・災害時避難所"
"大領小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","大領3-3-5","6694-1100","24時間","指定緊急避難場所・指定避難所","地震、津波","135.507513763032","34.6156261179761","一時避難場所・災害時避難所"
"住吉中学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","帝塚山西3-5-6","6672-3115","24時間","指定緊急避難場所・指定避難所","地震、津波","135.495743969923","34.6192857091554","一時避難場所・災害時避難所"
"大領中学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","大領4-3-25","6695-3611","24時間","指定緊急避難場所・指定避難所","地震、津波","135.507143843132","34.6133043127397","一時避難場所・災害時避難所"
"長居小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","長居東3-3-40","6698-8787","24時間","指定緊急避難場所・指定避難所","地震、津波","135.514681086476","34.6091478263501","一時避難場所・災害時避難所"
"大阪学芸高等学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","長居1-4-15","6693-6301","24時間","指定緊急避難場所・指定避難所","地震、津波","135.512147604174","34.6152561276566","一時避難場所・災害時避難所"
"大阪府教育センター附属高等学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田4-1-72","6692-0006","24時間","指定緊急避難場所・指定避難所","地震、津波","135.521851898239","34.6019611508045","一時避難場所・災害時避難所"
"苅田小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田3-5-34","6699-2901","24時間","指定緊急避難場所・指定避難所","地震、津波","135.516191635606","34.6018884436892","一時避難場所・災害時避難所"
"苅田北小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田1-11-39","6697-2224","24時間","指定緊急避難場所・指定避難所","地震、津波","135.520788543341","34.6038836653718","一時避難場所・災害時避難所"
"苅田南小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田10-1-35","6607-0511","24時間","指定緊急避難場所・指定避難所","地震、津波","135.513843936391","34.5946008217859","一時避難場所・災害時避難所"
"東我孫子中学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田1-16-2","6698-0001","24時間","指定緊急避難場所・指定避難所","地震、津波","135.51928371235","34.603062365104","一時避難場所・災害時避難所"
"依羅小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","我孫子4-11-48","6691-0771","24時間","指定緊急避難場所・指定避難所","地震、津波","135.507769139028","34.5975279967631","一時避難場所・災害時避難所"
"我孫子中学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","我孫子東1-4-32","6697-8161","24時間","指定緊急避難場所・指定避難所","地震、津波","135.511746379693","34.6050000687352","一時避難場所・災害時避難所"
"阪南高等学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","庭井2-18-81","6692-0356","24時間","－","地震、津波","135.517391694555","34.5953017379975","一時避難場所・災害時避難所"
"清水幼稚園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","清水丘1-24-10","6673-4567","24時間","指定緊急避難場所・指定避難所","地震、津波","135.491136644984","34.603491399586","一時避難場所・災害時避難所"
"遠里小野幼稚園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","遠里小野1-2-25","6691-3695","24時間","指定緊急避難場所・指定避難所","地震、津波","135.499172900607","34.6006439862283","一時避難場所・災害時避難所"
"長居幼稚園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","長居東3-8-32","6691-0190","24時間","－","地震、津波","135.517151585961","34.6076961650374","一時避難場所・災害時避難所"
"大空小学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","我孫子西1-6-12","6606-7181","24時間","指定緊急避難場所・指定避難所","地震、津波","135.508063227218","34.6054745204392","一時避難場所・災害時避難所"
"我孫子南中学校","防災関連施設 - 一時避難場所・災害時避難所","住吉区","浅香1-8-55","6698-6310","24時間","指定緊急避難場所・指定避難所","地震、津波","135.511133723473","34.5931339459924","一時避難場所・災害時避難所"
"住吉区老人福祉ｾﾝﾀｰ","防災関連施設 - 一時避難場所・災害時避難所","住吉区","遠里小野1-1-31","6694-1416","-","指定避難所","-","135.49964044351","34.6009716417629","災害時避難所"
"住吉区民センター","防災関連施設 - 一時避難場所・災害時避難所","住吉区","南住吉3-15-56","6694-6100","-","指定避難所","-","135.500815369573","34.6041190909352","災害時避難所"
"大阪市立大学第2体育館","防災関連施設 - 一時避難場所・災害時避難所","住吉区","杉本3-3-138","6605-2010","-","指定避難所","-","135.508655379222","34.5924283148023","災害時避難所"
"大阪府教育センター","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田4-13-23","6692-1882","-","－","-","135.519403995179","34.6020930004122","災害時避難所"
"住吉武道館","防災関連施設 - 一時避難場所・災害時避難所","住吉区","住吉2-9-89","6678-2422","-","－","-","135.49370699594","34.6112609999248","災害時避難所"
"苅田中公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田6-16","－","24時間","指定緊急避難場所","地震、津波","135.51763907297","34.599231260226","一時避難場所"
"遠里小野公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","遠里小野5-19","－","24時間","指定緊急避難場所","地震、津波","135.493335917102","34.5991974609154","一時避難場所"
"万代東公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","万代東1-1","－","24時間","指定緊急避難場所","地震、津波","135.507807600225","34.6217268235272","一時避難場所"
"山之内公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","山之内5-2","－","24時間","指定緊急避難場所","地震、津波","135.501818315975","34.5876809367026","一時避難場所"
"清水丘公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","清水丘2-22","－","24時間","指定緊急避難場所","地震、津波","135.491319823129","34.602540483021","一時避難場所"
"遠沢公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","清水丘2-2","－","24時間","指定緊急避難場所","地震、津波","135.494131213677","34.602748450135","一時避難場所"
"おりおの南公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","遠里小野7-5","－","24時間","指定緊急避難場所","地震、津波","135.492468910461","34.5969312484583","一時避難場所"
"清水丘ふれあい公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","清水丘3-8","－","24時間","指定緊急避難場所","地震、津波","135.490377099731","34.5974520203067","一時避難場所"
"我孫子公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","我孫子5-2","－","24時間","指定緊急避難場所","地震、津波","135.507415323084","34.5996696833554","一時避難場所"
"杉本町公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","杉本2-6","－","24時間","指定緊急避難場所","地震、津波","135.507246247674","34.5949935392692","一時避難場所"
"浅香町公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","浅香2-1","－","24時間","指定緊急避難場所","地震、津波","135.507338406579","34.5902004280507","一時避難場所"
"苅田北公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田2-11","－","24時間","指定緊急避難場所","地震、津波","135.515343166427","34.6039841058643","一時避難場所"
"苅田南公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田9-5","－","24時間","指定緊急避難場所","地震、津波","135.516191004883","34.5973250654346","一時避難場所"
"西長居公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","長居西1-14","－","24時間","指定緊急避難場所","地震、津波","135.509201955413","34.6123028902199","一時避難場所"
"沢之町公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","南住吉3-15","－","24時間","指定緊急避難場所","地震、津波","135.501837483468","34.6043254793138","一時避難場所"
"万代池公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","万代3-7","－","24時間","指定緊急避難場所","地震、津波","135.503055068452","34.6202143353245","一時避難場所"
"鶴ヶ丘児童遊園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","長居1-10","－","24時間","指定緊急避難場所","地震、津波","135.510482116038","34.6140808801082","一時避難場所"
"山之内中央公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","山之内3-17","－","24時間","指定緊急避難場所","地震、津波","135.500549816764","34.5931328276297","一時避難場所"
"山之内北公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","山之内1-1","－","24時間","指定緊急避難場所","地震、津波","135.505060926984","34.6006700219043","一時避難場所"
"神ノ木公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","帝塚山東5-3","－","24時間","指定緊急避難場所","地震、津波","135.498030096467","34.6152134876475","一時避難場所"
"南万領公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","万代東4-2","－","24時間","指定緊急避難場所","地震、津波","135.503291739296","34.6131527319958","一時避難場所"
"万領中央公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","万代東3-1","－","24時間","指定緊急避難場所","地震、津波","135.504347369933","34.6167381821566","一時避難場所"
"住吉一二三公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","住吉1-7","－","24時間","指定緊急避難場所","地震、津波","135.496896006113","34.613990585185","一時避難場所"
"浅香中央公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","浅香1-35","－","24時間","指定緊急避難場所","地震、津波","135.51005294403","34.5911946200719","一時避難場所"
"庭井公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","庭井2-23","－","24時間","指定緊急避難場所","地震、津波","135.51845174421","34.5955028813444","一時避難場所"
"苅田どんぐり公園","防災関連施設 - 一時避難場所・災害時避難所","住吉区","苅田3-4","－","24時間","指定緊急避難場所","地震、津波","135.517560642426","34.6016161235467","一時避難場所"
"育和小学校","防災関連施設 - 一時避難場所・災害時避難所","東住吉区","杭全4-10-12","6713-1253","24時間","指定緊急避難場所・指定避難所","地震、津波","135.537293487129","34.6347172100511","一時避難場所・災害時避難所"
"桑津小学校","防災関連施設 - 一時避難場所・災害時避難所","東住吉区","桑津5-13-13","6713-0922","24時間","指定緊急避難場所・指定避難所","地震、津波","135.531480112552","34.6354928685446","一時避難場所・災害時避難所"
"北田辺小学校","防災関連施設 - 一時避難場所・災害時避難所","東住吉区","北田辺3-11-14","6713-2324","24時間","指定緊急避難場所・指定避難所","地震、津波","135.524814195741","34.6328530953247","一時避難場所・災害時避難所"
"田辺小学校","防災関連施設 - 一時避難場所・災害時避難所","東住吉区","田辺2-3-34","6622-0401","24時間","指定緊急避難場所・指定避難所","地震、津波","135.525916777574","34.6264277987492","一時避難場所・災害時避難所"
"南田辺小学校","防災関連施設 - 一時避難場所・災害時避難所","東住吉区","南田辺4-3-4","6699-0221","24時間","指定緊急避難場所・指定避難所","地震、津波","135.522238742133","34.6176430343049","一時避難場所・災害時避難所"
"東田辺小学校","防災関連施設 - 一時避難場所・災害時避難所","東住吉区","東田辺2-14-6","6691-5671","24時間","指定緊急避難場所・指定避難所","地震、津波","135.528046563138","34.6201992980732","一時避難場所・災害時避難所"
